entity_id,email,city,amount,status,order_date,record_id,source,entityId,orderDate,ENTITY_ID,EMAIL,CITY,AMOUNT,STATUS,ORDER_DATE
TRANSACTIONS-00000000,laurentnicole@example.com,Dieburg,3197.49,new,2025-04-07,S1-000000000,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000001,mauryaudrey@example.org,Fürstenwalde,3708.01,new,2025-09-11,S1-000000001,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000002,guilbertlouis@example.net,Humbert-sur-Mer,1116.83,error,2025-10-13,S1-000000002,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000003,blakeerik@example.com,Ericmouth,513.37,error,2025-04-04,S1-000000003,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000004,howardmaurice@example.com,Pinneberg,4461.01,new,2026-02-20,S1-000000004,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000005,arnoldmaria@example.net,Lake Chad,2952.87,new,2025-05-26,S1-000000005,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000006,wyattmichelle@example.com,Reidstad,149.96,new,2025-07-20,S1-000000006,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000007,elizabethmiles@example.net,Saint Élisabeth-sur-Mer,1164.07,error,2025-08-25,S1-000000007,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000008,veronica83@example.net,East Lydiamouth,133.65,new,2025-06-10,S1-000000008,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000009,sigridrosenow@example.net,Lake Victor,3580.38,error,2025-08-24,S1-000000009,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000010,fredo38@example.net,Hurstfurt,2725.16,new,2025-05-23,S1-000000010,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000011,wconradi@example.org,Sebnitz,2246.6,ok,2025-12-31,S1-000000011,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000012,egodard@example.com,Riceside,4047.34,new,2025-11-18,S1-000000012,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000013,normandelise@example.com,Marie,3794.28,new,2025-08-14,S1-000000013,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000014,uadler@example.net,New Rita,3491.0,ok,UNKNOWN,S1-000000014,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000015,honorebesson@example.org,Martinboeuf,1390.08,new,2025-03-06,S1-000000015,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000016,priska43@example.org,Borna,4786.11,ok,UNKNOWN,S1-000000016,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000017,fernandosorgatz@example.com,Aubry,UNKNOWN,ok,2026-01-31,S1-000000017,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000018,ilecomte@example.net,Delannoy,484.49,ok,2025-07-31,S1-000000018,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000019,brigitte87@example.org,Belzig,3019.03,new,2025-03-07,S1-000000019,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000020,jacquelinevasseur@example.org,Geldern,3648.93,error,2026-02-13,S1-000000020,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000021,christos83@example.com,UNKNOWN,625.01,UNKNOWN,2026-02-25,S1-000000021,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000022,yberger@example.com,North Collin,UNKNOWN,ok,2025-07-14,S1-000000022,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000023,uowens@example.org,Saint Anneboeuf,4147.19,error,2025-06-03,S1-000000023,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000024,apolloniameister@example.org,West Steven,4427.37,ok,2025-08-18,S1-000000024,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000025,girardmanon@example.net,Worbis,2887.18,error,2025-05-02,S1-000000025,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000026,zolson@example.org,Ahaus,348.71,error,2025-06-09,S1-000000026,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000027,rodney87@example.org,Fürstenwalde,1140.26,ok,2025-10-09,S1-000000027,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000028,letellierthomas@example.org,Nürtingen,4926.12,new,2025-04-29,S1-000000028,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000029,gotthardcharles@example.net,Luckau,4332.55,ok,2026-02-07,S1-000000029,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000030,inesvalentin@example.org,Sainte Margauxboeuf,1390.59,error,2025-05-17,S1-000000030,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000031,olivier46@example.org,Albert,4170.72,new,2026-02-22,S1-000000031,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000032,mielcarekelse@example.net,Pirmasens,1851.53,new,2025-09-11,S1-000000032,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000033,UNKNOWN,Ericside,3351.21,error,2025-06-24,S1-000000033,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000034,martineautherese@example.net,East Josephville,4683.34,error,2025-09-29,S1-000000034,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000035,karl-peter93@example.net,Lake Cynthia,357.94,error,2025-09-11,S1-000000035,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000036,rebecca01@example.net,Bradleymouth,856.52,error,2025-11-01,S1-000000036,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000037,joycearnold@example.com,Saint Denis,1224.81,ok,2026-02-13,S1-000000037,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000038,koch-iiconstanze@example.net,Dachau,1897.9,error,2025-06-26,S1-000000038,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000039,nolanjason@example.org,Sainte Renéenec,3441.12,new,2025-12-15,S1-000000039,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000040,ninafroehlich@example.org,East Jillmouth,3423.39,new,2026-01-04,S1-000000040,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000041,reneleroux@example.net,Bad Kissingen,1146.01,new,2025-05-24,S1-000000041,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000042,tkiller@example.org,Steinfurt,4025.42,ok,2025-07-31,S1-000000042,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000043,michelle45@example.net,Potierboeuf,1339.44,new,2025-04-12,S1-000000043,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000044,beverlyterrell@example.org,Ilmenau,4565.77,error,2025-12-29,S1-000000044,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000045,gobrien@example.org,West Bradley,4381.96,ok,2025-02-27,S1-000000045,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000046,aimeeperret@example.org,Ferrand,1063.92,ok,2025-11-11,S1-000000046,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000047,amelie46@example.com,Angelaborough,1978.76,error,2025-11-12,S1-000000047,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000048,christinaturner@example.net,Gütersloh,2294.8,ok,2025-08-12,S1-000000048,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
TRANSACTIONS-00000049,chantal77@example.net,Wittenberg,699.01,error,2025-11-09,S1-000000049,S1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
